replacement_ratio,accuracy,f1_score,adaptation_time_sec,adaptation_count
0.1,0.842,0.8383824770492514,0.019882274998963112,1
0.2,0.8428,0.8395599102893823,0.02102462299808394,1
0.3,0.8445333333333334,0.8418795296330114,0.021929147002083482,1
0.5,0.8474666666666667,0.8457778295921523,0.02486553399830882,1
0.7,0.8485333333333334,0.8475737127289016,0.027515133002452785,1
1.0,0.8328,0.8302589054819164,0.06721773499884875,3
