model,accuracy,f1_score,precision,recall,adaptation_count,adaptation_time_sec,total_drifts_detected
Static (No Adapt),0.681,0.6087712658932317,0.5832648648648648,0.681,0,0.026097328000105335,0
Full Retrain (ADWIN) (ADWIN),0.681,0.6087712658932317,0.5832648648648648,0.681,0,0.024988302999190637,0
Full Retrain (DDM) (DDM),0.681,0.6087712658932317,0.5832648648648648,0.681,0,0.027800480000223615,0
Selective Adapt (ADWIN) (ADWIN),0.718,0.6036501526642372,0.5883132530120481,0.718,0,0.019274022000900004,0
Selective Adapt (DDM) (DDM),0.718,0.6036501526642372,0.5883132530120481,0.718,0,0.01934061700012535,0
Selective Adapt (Page-Hinkley) (Page-Hinkley),0.718,0.6036501526642372,0.5883132530120481,0.718,0,0.019262265999714145,0
Adaptive XGBoost (GPU/RTX 5070) (ADWIN),0.72,0.6027906976744186,0.5184,0.72,0,0.04732016599882627,0
