model,accuracy,f1_score,precision,recall,adaptation_count,adaptation_time_sec,total_drifts_detected
Static (No Adapt),0.681,0.6087712658932317,0.5832648648648648,0.681,0,0.026467841998965014,0
Full Retraining (ADWIN) (ADWIN),0.681,0.6087712658932317,0.5832648648648648,0.681,0,0.0249215309995634,0
Full Retraining (DDM) (DDM),0.681,0.6087712658932317,0.5832648648648648,0.681,0,0.025533451000228524,0
Proposed Selective Adapt (ADWIN) (ADWIN),0.72,0.6027906976744186,0.5184,0.72,0,0.028710793998470763,0
Proposed Selective Adapt (DDM) (DDM),0.72,0.6027906976744186,0.5184,0.72,0,0.03013807900060783,0
Proposed Selective Adapt (EDDM) (EDDM),0.71,0.6190474758711928,0.6216920239741817,0.71,8,0.1101104320041486,8
Proposed Selective Adapt (Page-Hinkley) (Page-Hinkley),0.72,0.6027906976744186,0.5184,0.72,0,0.028528136997920228,0
Boosted ARF-DWM Forest [DDM],0.72,0.6100207684319835,0.6596774193548388,0.72,3,0.02888259799874504,3
Self-Healing Dual-Memory Meta-Ensemble,0.716,0.6113513513513513,0.6245121951219512,0.716,7,0.02716720700118458,7
