model,accuracy,f1_score,precision,recall,adaptation_count,adaptation_time_sec,total_drifts_detected
Static (No Adapt),0.4592568448500652,0.2890743329880464,0.21091684954163686,0.4592568448500652,0,0.016884161001144093,0
Full Retrain (ADWIN) (ADWIN),0.4657757496740548,0.3032540081664895,0.7530439735205849,0.4657757496740548,1,0.031938871999955154,1
Full Retrain (DDM) (DDM),0.4592568448500652,0.2890743329880464,0.21091684954163686,0.4592568448500652,1,0.028247718000784516,1
Selective Adapt (ADWIN) (ADWIN),0.4592568448500652,0.2890743329880464,0.21091684954163686,0.4592568448500652,1,0.016077059999588528,1
Selective Adapt (DDM) (DDM),0.4592568448500652,0.2890743329880464,0.21091684954163686,0.4592568448500652,1,0.014610759999413858,1
Boosted ARF-DWM Forest (Micro-DDM) [DDM],0.4592568448500652,0.2890743329880464,0.21091684954163686,0.4592568448500652,25,0.02222699899903091,1
Self-Healing Dual-Memory Meta-Ensemble,0.4592568448500652,0.2890743329880464,0.21091684954163686,0.4592568448500652,20,0.008790286998191732,1
Adaptive XGBoost (GPU RTX 5070) (ADWIN),0.4779986962190352,0.3290633995763363,0.7556884779845942,0.4779986962190352,1,0.148742413999571,1
