model,accuracy,f1_score,precision,recall,adaptation_count,adaptation_time_sec,total_drifts_detected
Static (No Adapt),0.8171578947368421,0.804370167434293,0.7951630271600167,0.8171578947368421,0,0.03395698100030131,0
Full Retrain (ADWIN) (ADWIN),0.8903859649122807,0.890262507270151,0.8901409318960666,0.8903859649122807,31,0.5480769760015392,31
Full Retrain (DDM) (DDM),0.9158947368421053,0.9149886960425897,0.9142677514917169,0.9158947368421053,132,2.163391974989281,132
Selective Adapt (ADWIN) (ADWIN),0.883719298245614,0.875182243004675,0.8729759698741659,0.883719298245614,35,0.3065644840044115,35
Selective Adapt (DDM) (DDM),0.894,0.8899608167385415,0.8878788067637289,0.894,96,0.7422954619942175,96
Selective Adapt (Page-Hinkley) (Page-Hinkley),0.8740350877192983,0.8650628232898648,0.8617439017160394,0.8740350877192983,33,0.2936404659994878,33
Adaptive XGBoost (GPU RTX 5070) (ADWIN),0.89,0.8915022638848135,0.8932965309415911,0.89,32,1.13350986200021,32
