model,accuracy,f1_score,precision,recall,adaptation_count,adaptation_time_sec,total_drifts_detected
Static (No Adapt),0.45909183882184496,0.2888993151287954,0.21076531647282287,0.45909183882184496,0,0.019059846999880392,0
Full Retrain (ADWIN) (ADWIN),0.6414399672734711,0.602909385111966,0.7986771748706206,0.6414399672734711,2,0.04577336399961496,7
Full Retrain (DDM) (DDM),0.45909183882184496,0.2888993151287954,0.21076531647282287,0.45909183882184496,1,0.026844432000871166,1
Selective Adapt (ADWIN) (ADWIN),0.45909183882184496,0.2888993151287954,0.21076531647282287,0.45909183882184496,1,0.013892999000745476,1
Selective Adapt (DDM) (DDM),0.45909183882184496,0.2888993151287954,0.21076531647282287,0.45909183882184496,1,0.013647072999447118,1
Boosted ARF-DWM Forest (Micro-DDM) [DDM],0.45909183882184496,0.2888993151287954,0.21076531647282287,0.45909183882184496,37,0.028630518001591554,8
Self-Healing Dual-Memory Meta-Ensemble,0.45909183882184496,0.2888993151287954,0.21076531647282287,0.45909183882184496,20,0.008345383999767364,1
Adaptive XGBoost (GPU RTX 5070) (ADWIN),0.6962569032521988,0.6747213079324925,0.817200326947194,0.6962569032521988,2,0.09008501400057867,9
