model,accuracy,f1_score,precision,recall,adaptation_count,adaptation_time_sec,total_drifts_detected
Static (No Adapt),0.7178855108189537,0.7171136238474025,0.7167183213285987,0.7178855108189537,0,0.023962244998983806,0
Full Retrain (ADWIN) (ADWIN),0.752738975623117,0.7517724164569451,0.7515578363124819,0.752738975623117,67,1.1186460659955628,67
Full Retrain (DDM) (DDM),0.7944855290787912,0.7942243734703089,0.7940637234313201,0.7944855290787912,244,3.978571469011513,244
Selective Adapt (ADWIN) (ADWIN),0.7764767643567972,0.7752953554234293,0.7754304802438998,0.7764767643567972,75,0.591037882008095,75
Selective Adapt (DDM) (DDM),0.7854012599287866,0.7855346020988518,0.7856958830061282,0.7854012599287866,164,1.167286078009056,164
Selective Adapt (Page-Hinkley) (Page-Hinkley),0.7779603761526522,0.7774722816129086,0.7772591044553726,0.7779603761526522,75,0.5963195120129967,75
Adaptive XGBoost (GPU RTX 5070) (ADWIN),0.7350041084634347,0.7351513501701912,0.735319288217535,0.7350041084634347,71,5.143539522003266,71
