model,accuracy,f1_score,precision,recall,adaptation_count,adaptation_time_sec,total_drifts_detected
Static (No Adapt),0.6982105263157895,0.6603875241320135,0.7605383656389989,0.6982105263157895,0,0.019391212998016272,0
Full Retraining (ADWIN) (ADWIN),0.7658421052631579,0.7637678630092719,0.7653049866756545,0.7658421052631579,32,0.5174671329987177,32
Full Retraining (DDM) (DDM),0.8263684210526315,0.8259514596565402,0.8259620868773467,0.8263684210526315,116,1.787537911979598,116
Proposed Selective Adapt (ADWIN) (ADWIN),0.7998421052631579,0.7985857282525692,0.7995017103026414,0.7998421052631579,28,0.28837576099613216,28
Proposed Selective Adapt (DDM) (DDM),0.8078947368421052,0.8079557239283746,0.8080262593738559,0.8078947368421052,57,0.5426428779974231,57
Proposed Selective Adapt (EDDM) (EDDM),0.8227368421052632,0.8223313989958608,0.822315688317057,0.8227368421052632,101,0.9534783090093697,101
Proposed Selective Adapt (Page-Hinkley) (Page-Hinkley),0.8096842105263158,0.8088089460688597,0.8092417821219958,0.8096842105263158,43,0.42506411499198293,43
Boosted ARF-DWM Forest [DDM],0.8473684210526315,0.8466477006930704,0.8473632701083507,0.8473684210526315,2076,3.0617992649677035,1717
Self-Healing Dual-Memory Meta-Ensemble,0.8201052631578948,0.8199761772895284,0.8198912432324588,0.8201052631578948,939,0.8752930729860964,882
