model,accuracy,f1_score,precision,recall,adaptation_count,adaptation_time_sec,total_drifts_detected
Static (No Adapt),0.7018478260869565,0.6609074007496828,0.7728598235540617,0.7018478260869565,0,0.01834312099890667,0
Full Retrain (ADWIN) (ADWIN),0.7622826086956521,0.7617685249393968,0.7615394874539427,0.7622826086956521,13,0.21441497200430604,13
Full Retrain (DDM) (DDM),0.8144565217391304,0.813843989980093,0.8138892735924029,0.8144565217391304,42,0.6488578370008327,42
Selective Adapt (ADWIN) (ADWIN),0.8071739130434783,0.8064375415365572,0.8065441148791532,0.8071739130434783,20,0.15805428200656024,20
Selective Adapt (DDM) (DDM),0.8282608695652174,0.8278403155127185,0.8278107378934028,0.8282608695652174,30,0.21070834100464708,30
Selective Adapt (Page-Hinkley) (Page-Hinkley),0.8296739130434783,0.8290341891967608,0.8292376340619734,0.8296739130434783,16,0.12909402800141834,16
