model,accuracy,f1_score,precision,recall,adaptation_count,adaptation_time_sec,total_drifts_detected
Static (No Adapt),0.9250121891760117,0.9247511494657701,0.9256790913196701,0.9250121891760117,0,0.01842518300145457,0
Full Retrain (ADWIN) (ADWIN),0.9423695758166748,0.9422362333518031,0.9427015884079287,0.9423695758166748,2,0.049096015998657094,2
Full Retrain (DDM) (DDM),0.9439297903461726,0.9438545743651261,0.9440040923830177,0.9439297903461726,4,0.07978554500186874,4
Selective Adapt (ADWIN) (ADWIN),0.9325207215992198,0.9321931451993783,0.9339501216366833,0.9325207215992198,2,0.02969526400011091,2
Selective Adapt (DDM) (DDM),0.9283276450511946,0.9279961592922834,0.9295812342775512,0.9283276450511946,3,0.043771733000539825,3
Selective Adapt (Page-Hinkley) (Page-Hinkley),0.9379814724524622,0.9377565260593125,0.9388246547285128,0.9379814724524622,2,0.029870852999010822,2
Adaptive XGBoost (GPU/RTX 5070) (ADWIN),0.9301803998049731,0.9299429641658666,0.9308550302998083,0.9301803998049731,2,0.11594532200069807,2
