model,accuracy,f1_score,precision,recall,adaptation_count,adaptation_time_sec,total_drifts_detected
Static (No Adapt),0.6927916666666667,0.6477792173307171,0.7597637787457061,0.6927916666666667,0,0.020233653000104823,0
Full Retrain (ADWIN) (ADWIN),0.7600833333333333,0.7570640919204255,0.7592480617785774,0.7600833333333333,43,0.7044601760026126,43
Full Retrain (DDM) (DDM),0.8197916666666667,0.8193300700686064,0.8192387545870735,0.8197916666666667,158,2.517445011995733,158
Selective Adapt (ADWIN) (ADWIN),0.7896666666666666,0.7883771265105143,0.7887584960652871,0.7896666666666666,40,0.3156716840003355,40
Selective Adapt (DDM) (DDM),0.8183333333333334,0.8171153258339316,0.8179197206633734,0.8183333333333334,63,0.47592860100849066,64
Selective Adapt (Page-Hinkley) (Page-Hinkley),0.7996666666666666,0.7982413674367648,0.798994956927179,0.7996666666666666,40,0.3146491840125236,40
Adaptive XGBoost (GPU/RTX 5070) (ADWIN),0.7552083333333334,0.7557165967300294,0.756556419911951,0.7552083333333334,44,4.254177779004749,44
