model,accuracy,f1_score,precision,recall,adaptation_count,adaptation_time_sec,total_drifts_detected
Static (No Adapt),0.7883197578957535,0.7451181807328816,0.7581343497906206,0.7883197578957535,0,0.02580195799964713,0
Full Retrain (ADWIN) (ADWIN),0.7795949905025594,0.7223247880888708,0.7404784452869081,0.7795949905025594,7,0.13078531099745305,7
Full Retrain (DDM) (DDM),0.6974662760374747,0.7065129330922084,0.7181207531178604,0.6974662760374747,2,0.05727194499922916,2
Selective Adapt (ADWIN) (ADWIN),0.698013586169151,0.7093534884758961,0.725150069332853,0.698013586169151,4,0.04456305500025337,4
Selective Adapt (DDM) (DDM),0.8046102829915328,0.7890965979076707,0.7865336078775415,0.8046102829915328,11,0.08660980599961476,11
Boosted ARF-DWM Forest (Micro-DDM) [DDM],0.816425742893017,0.7677557865620602,0.8374548251202522,0.816425742893017,126,0.18751876999158412,104
Self-Healing Dual-Memory Meta-Ensemble,0.8194520459740511,0.7847166129901093,0.8143297113018122,0.8194520459740511,50,0.07265804100097739,44
Adaptive XGBoost (GPU RTX 5070) (ADWIN),0.7368082160909178,0.7260464362566714,0.7183280486166179,0.7368082160909178,10,3.1055188389982504,10
